Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
Traditional Outfits Germany,en,﻿Tradiční přeplňování v Německu,﻿Traditionelt udpassede Tyskland,﻿Klassisches Muster in Deutschland,﻿Παραδοσιακές εκδηλώσεις εκτός Γερμανίας,,﻿Resultados tradicionales en Alemania,﻿Traditsioonilised margid: saksamaa,﻿Perinteinen Saksa,﻿Résultat traditionnel de l’Allemagne,﻿Hagyományos kitelepítésű Németország,﻿Un'uscita tradizionale dalla Germania,﻿Tradicinės avarijos Vokietijoje,﻿Traditioneel Duitsland,﻿Tradycyjne wyjścia Niemiec,﻿Saída tradicional Alemanha,"﻿În mod tradițional, Germania",﻿Traditionsenligt i Tyskland
trap des ouderdom,nl,﻿stupeň stáří,﻿alder,﻿Alter,﻿στάδιο της ηλικίας,﻿stage of age,﻿edad,﻿vanus,﻿ikäryhmä,﻿stade de l’âge,﻿életszakasz,﻿fascia di età,﻿amžius,,﻿stadium,﻿fase da idade,﻿vârsta,﻿ålder
DIEGO DE VALERA,es,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,,﻿DIEGO DE VALERIA,﻿DIEGO DE VALERO,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERIA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERA,﻿DIEGO DE VALERIA,﻿DIEGO DE VALERA
Acebo pays basque,es,﻿Acebo platí baserque,﻿Aceto pays basque,﻿Acebo pays baque,﻿Acebo pays basque,﻿Acebo pays basque,,﻿Aebo maksab basque,﻿Acebo maksaa basque,﻿Acebo pays basque,﻿Bástya bástya,﻿Acebo paga il basque,﻿„Acebo moka“,﻿Acebo betaalt basque,﻿Acebo płaci basque,﻿Acebo paga basque,﻿Acebo achită criteriul de bază,﻿Acebo betalar baque
medaillon mode,en,﻿aillonový režim,﻿medaillon mode,﻿Medaillon,﻿medillon mode,,﻿modo Meillon,﻿laadiv režiim,﻿medinllon toimintatila,﻿mode de mesure,﻿medaillon üzemmód,﻿medaillon,﻿medazimo režimas,﻿Medaillon,﻿tryb medialan,﻿modo da mecaLON,﻿modul medalilon,﻿Medaillon
Albanische,en,﻿Albanische,﻿Albianiche,﻿Albaiche,﻿Albananche,,﻿Albanische,﻿Albische,﻿Albanisiche,﻿Albanische,﻿Albanische,﻿Albanisoche,﻿Albananische,﻿Albaische,﻿Albaniche,﻿Albanische,﻿Albanische,﻿Albanische
Un congreso de gitanos,es,﻿Kongres romské vlády,﻿Roma Congress,﻿Roma-Kongress,﻿Κογκρέσο των Ρομά,﻿Roma Congress,,﻿Romade kongress,﻿Roma Congress,﻿Congrès des Roms,﻿Roma Kongresszus,﻿Congresso dei comuni Rom,﻿Romų kongresas,﻿Roma-congres,﻿Kongres Romów,﻿Congresso dos Ciganos,﻿Congresul romilor,﻿Den romska kongressen
Agrius,en,﻿Agrius,﻿Agrius,﻿Agrius,﻿Agrius,,﻿Agrius,﻿Agrilus,﻿Agrius,﻿Agrius,﻿Agrius,﻿Agrius,﻿„Agrius“,﻿Agrilus,﻿Agrius,﻿Agrius,﻿Agrius,﻿Agrius
Solidaridad Obrera,es,﻿Solidarita v rámci solidarity Obrera,﻿Solidaritet Obrera-solidaritet,﻿Solidarität Obrera Solidarität,﻿Αλληλεγγύη Όμπρρα η αλληλεγγύη,﻿Solidarity Obrera solidarity,,﻿Solidaarsus ja solidaarsus,﻿Yhteisvastuu – Obreran yhteisvastuullisuus,﻿Solidarité Obreera,﻿Az obrerai szolidaritás,﻿Solidarietà Obrea,﻿Solidarumas Obrera solidarumas,﻿Solidariteit Obrera,﻿Solidarność Obrera),﻿Solidariedade solidária Obrera,﻿Solidaritate Obrera,﻿Solidaritet Obrera solidaritet
miss blanche,en,﻿meškat.,﻿husk at gå glip af blanche,﻿fehlende blanche,﻿άγονος χιονοστιβάδας,,﻿carta blanca,﻿brevin,﻿myöhästynyt,﻿MISS blanche,﻿Törpe blanche,﻿perdere carta bianca,﻿blanche,﻿mis blanche,﻿przegap blanche,﻿falhar a carta branca,﻿ratați blanche,﻿missar blanche
A fistful of dollars,en,﻿Píštěl dolarů,﻿En kurs på dollar,﻿Dollar,﻿A fistful of dollecten,,﻿La deuda en dólares,﻿Fistefid dollarid,﻿Dollarimääräiset dollareina,﻿Une fiste de dollars,﻿Fistflic dollár,﻿Uno spreco di dollari,﻿Doleriai,﻿Een fuut van dollars,﻿Plastyczne kwoty w dolarach,﻿Pessoa com personalidade de dólares,﻿Un pachet de dolari,﻿En avskuren av dollar
adriano de sousa lopes,en,﻿Adriano de svusa lopes,﻿Adriano de Sousa lopes,﻿Adriano de susa lopes,﻿Adriano de susa lopes,,﻿Adriano de susa Lopes,﻿Adriano de sousa lopes,﻿Adriano de susa lopes,﻿Adriano de sousa lopes,﻿Adriano de susza lopes,﻿Adriano de scleropes,﻿Adriano de sousa lopes,﻿Adriano de soupes,﻿Adriano de soussa lopes,﻿Adriano de sausa lopes,﻿Adriano de sousa lopes,﻿Adriano de saussoa
Ada Lovelace,en,﻿ADA,﻿ADA Lovelace,﻿ADA Lovelace,﻿ADA Lovelace,,﻿ADA Lovace,﻿ADA Lovelce,﻿ADA Lovelace,﻿ADA Lovelace,﻿ADA Lovelace,﻿ADA Lovace,﻿AS Lovelace,﻿ADA Lorelace,﻿ADA Lovelce,﻿ADA Lovelace,﻿ADA Lovelace,﻿Ada Lovellace
agenlli,en,﻿agenlli,﻿agenlli,﻿Agendli,﻿aglli,,﻿agenlli,﻿agenlli,﻿agenlli,﻿agenlli,﻿Attelli,﻿agenlli,﻿agenlli,﻿agenlli,﻿AGENlli,﻿agenciol,﻿agenli,﻿Europeiska unionens allmänna budget
Achilles Painter,en,﻿Achill Painer,﻿Palansinger,﻿Pailleber,﻿Αχιλλίδες,,﻿Achales Painer,﻿Achilleuse Painter,﻿Ahilles Painter,﻿Achilles Painter,﻿Achilles périák,﻿Achillia Painer,﻿Achilo dažas,﻿Achilleshiel,﻿Achillesa Painter,﻿Achilles Painter,﻿Achilles Pales,﻿Paillesfärger
Finland germany,en,﻿Finsko německo,﻿Finland,﻿Finnland Deutschland,﻿Φινλανδία,,﻿Finlandia Alemania,﻿Soome liir,﻿Suomi saksa,﻿Finlande Allemagne,﻿Finnország német-német.,﻿Germania germania,﻿Suomija vokietija,﻿Finland Duitsland,﻿Finland germany,﻿Finlândia Alemanha,﻿Finlanda,"﻿Finland, Finland"
Albania,en,﻿Albánie,﻿Albanien,﻿Albanien,﻿Αλβανία,,﻿Albania,﻿Albaania,﻿Albania,﻿Albanie,﻿Albánia,﻿Albania,﻿Albanija,﻿Albanië,﻿Albania,﻿Albânia,﻿Albania,﻿Albanien
Arthur von Gerlach,de,﻿Arthur von Gerlach,﻿Arthur von Gerlach,,﻿Ο κ. Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach,﻿Arthur von Gerlach
ACREICE,fr,﻿ACREICE,﻿ACCINICE,﻿ACRESICE,﻿ACREICE,﻿ACREICE,﻿ACIICE,﻿ACREICE,﻿ACREICE,,﻿ACREICE,﻿ACRECE,﻿ACREICE,﻿ACREICE,﻿ACREICE,﻿ACREICE,﻿ACREEC,﻿ACRICE
acupuncture,en,﻿akupunktura,﻿akupunktur,﻿Akupunktur,﻿βελονισμός,,﻿acupuntura,﻿akupunktuur,﻿akupunktio,﻿acupuncture,﻿akupunktúra,﻿agopuntura,﻿akupunktūra,﻿acupunctuur,﻿akupunktura,﻿acupuntura,﻿acupunctură,﻿akupunktur
adolf michael boehm,de,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,,﻿Adolf Mihailel Boehm,﻿Adolf mihael Boehm,﻿Adolf Mihalia,﻿Adolf Mihael Boehm,﻿Adolf Mihail Boehm,﻿Adolf michael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm,﻿Adolf Mihael Boehm
Aarschot,nl,﻿Aarschot,﻿Aarchot,﻿Aarschot,﻿Aarschot,﻿Aarschot,﻿3200 Aarschot,﻿Aarschot,﻿Aarchovy,﻿Aarschot,﻿Aarchot,﻿Aarschot,﻿Aarschot,,﻿Aartchot,﻿Aarschot,﻿Aarschot,﻿Aarchot
floor plan,en,﻿půdorys,﻿gulvplan,﻿Grundrissplan,﻿κάτοψη,,﻿planta,﻿põrandaplaan,﻿Matalaisuunnitelma,﻿plan,﻿alapterv,﻿piano di piani,﻿aukšto lygio planas,﻿plattegrond van de vloer,﻿plan piętra,﻿plano do piso,﻿planul etajelor,﻿plan
die rivalen,de,﻿konkurenční,﻿the rival,,﻿ο αντίπαλο,﻿the rival,﻿el rival,﻿konkurent,﻿kilpailevat yritykset,﻿les rivaux,﻿a versenytárs,﻿il concorrente,﻿konkurentas,﻿de rivaal,﻿rywalizacja,﻿o rival,﻿rival,﻿konkurrenten
alcantara,es,﻿Alcantara,﻿Alcantara,﻿Alcantara,﻿Alcantara,﻿Alcantara,,﻿Alcantara,﻿Alcantara,﻿Alcantara,﻿Alcantara,﻿Alcantara,﻿Alkantara,﻿Alcantara,﻿Alcantara,﻿«alcântara»,﻿Alcantara,﻿Alcantara
universitat de valencia,es,﻿Universitat de vallencia,﻿Universitat de valencia,﻿Universitat de Valencia,﻿Universitat de valencia,﻿Universitat de valencia,,﻿Universitat de valencia,﻿Universitat de valcicia,﻿Universitat de valencia,﻿Universiat de valencia,﻿Universitat de Valencia,﻿Universitat de valencia,﻿Universat de valencia,﻿Universitat de valencia,﻿Universitat de Valencia,﻿Universat de valencia,﻿Universitat de valencia
eastern state penitentiary,en,﻿východní státní vězeňský systém,﻿østlige statslige fængsler,﻿Strafvollzug in Osteuropa,﻿σωφρονιστικό σωφρονιστικό ίδρυμα ανατολικού κράτους,,﻿Estado penitenciario del este,﻿Idariikide kinnipidamisasutused,﻿Itä-valtio rangaistuslaitoksessa,﻿État de l’Est pénitentiaire,﻿a keleti állam büntetés-végrehajtási intézetei,﻿penitenziario di Stato orientale,﻿Rytų valstybės pataisos,﻿penitentiaire inrichtingen in de oostelijke lidstaat,﻿zakład karny we wschodniej części kraju,﻿Estado oriental do sistema penitenciário,﻿penitenciar din partea de est,﻿det östliga kriminalvårdsanstalten
aachen,nl,﻿Aachen (Cáchy),﻿Aachen,﻿Aachen,﻿Aachen,﻿Aachen,﻿Aquisgrán,﻿Aacheni piirkond,﻿Aachen,﻿Aix-la-Chapelle,﻿Aachen,﻿Aquisgrana,﻿Achenas,,﻿Aachen,﻿Aachen,﻿Aachen,﻿Aachen
la culture du sport,fr,﻿kultura sportu,﻿sportskultur,﻿Sport,﻿πολιτισμός του αθλητισμού,﻿culture of sport,﻿cultura del deporte,﻿spordikultuur,﻿urheilukulttuuri,,﻿sportkultúra,﻿cultura dello sport,﻿sporto kultūra,﻿sportcultuur,﻿kultura sportu,﻿cultura do desporto,﻿cultura sportului,﻿idrott
dance song,fr,﻿Taneční píseň,﻿Dansesang,﻿Dance Song,﻿Τραγούδι χορού,﻿Dance song,﻿Canciones de baile,﻿Tantsulaul,﻿Tanssikappale,,﻿Táncdal,﻿Canzone,﻿Šokio daina,﻿Dansong,﻿Piosenka tańca,﻿Dança de dança,﻿Dans de dans,﻿Danslåten
agarrado,es,﻿uchopení,﻿evne til at gribe fat,﻿fassen,﻿πιάσιμο,﻿gripping,,﻿haarank,﻿tarttuminen,﻿préhension,﻿táska,﻿scalipare,﻿Aptraukimas,﻿vastgrijpen,﻿chwyt,﻿gripping,﻿prindere,﻿grippling
chateau guy,fr,﻿Cnateau guy,﻿Chateau guy,﻿Chatau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,,﻿Chateau guy,﻿Guado,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy,﻿Chateau guy
al signor giacomo moretti,en,﻿al Sign nebo giacomo Moretti,﻿al Signe og giacomo Moretti,﻿al-Sigor giacomo Moretti,﻿al Signor giacomo Moretti,,﻿col o giacomo moretti,﻿al Sig- või gicomo Moretti,﻿al Signior giacomo Moretti,﻿Al Sigans giacomo Moretti,﻿al Signor giiacomo Moretti,﻿al,﻿Al Signor giacomo Moretti,﻿al Siggiacor giacomo Moretti,﻿Al Signor giacomo Moretti,﻿Al sigor giacomo moretti,﻿Signor giacomo Moretti,﻿al Sigor giacomo Moretti
officiel de la mode,en,"﻿úřední věstník, režim LA/LA",﻿officiel de la mode,﻿„officiel de la mode“,﻿Επίσημη θέση,,﻿«Décret»,﻿officiel de la mode,﻿Total de la mode,﻿officiel de la mode,﻿Officiel de la mode,﻿officiel de la mode,﻿officiel de la mode,﻿officieel,﻿instytucja stanu cywilnego,﻿officiel de la mode,﻿officiel de la modul (de la modul),﻿villkor för användning av transportmedel
Isabel de la serna,es,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna,﻿Isabel de la Serna
Greek dilemma,pl,﻿Řecké dilema,﻿Græsk dilemma,﻿Griechisches Dilemma,﻿Ελληνικό δίλημμα,﻿Greek dilemma,﻿Dilema griego,﻿Kreeka dilemma,﻿Kreikkalainen dilemma,﻿Le dilemme de la Grèce,﻿Görög dilemma,﻿Dilemma greco,﻿Graikijos dilema,﻿Grieks dilemma,,﻿Dilema grego,﻿Dilema greacă,﻿Grekiska dilemmat
gerty cori,en,﻿Gerty Cori,﻿Gery Cori,﻿Gerty Cori,﻿Gerty Cori,,﻿Gerty Cori,﻿Geraty Cori,﻿Gerty Cori,﻿Ginty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori,﻿Gerty Cori
album magasin arts,es,﻿Album Magdalasová umění,﻿album Magdasin,﻿Album Maasin arts,﻿άλμπουμ Magasin,﻿album Magasin arts,,﻿album Magasin kunts,﻿album Magasin art,﻿album Magasin arts,"﻿album, Magasin művészet",﻿album economico,﻿album Magasin menai,﻿beeldende kunsten van album,﻿album Magisin artiture,﻿album Magasin arts,﻿albuz Magasin,﻿album Magsin konst
acquoy,nl,﻿mzdy,﻿lønninger,﻿Löhne,﻿μισθοί,﻿wages,﻿salarios,﻿palgad,﻿palkat,﻿salaires,﻿bérek,﻿salari,﻿darbo užmokestis,,﻿wynagrodzenia,﻿salários,﻿salarii,﻿löner
bruit du vent,fr,﻿hluk větru,﻿vindstøj,﻿Windgeräusche,﻿θόρυβος ανέμου,﻿wind noise,﻿ruido del viento,﻿Tuulemüra,﻿tuulimelu,,﻿szélzaj,﻿rumore da vento,﻿vėjo triukšmas,﻿geluidsniveau van de wind,﻿hałas wiatru,﻿ruído devido ao vento,﻿zgomot produs de vânt,﻿vindbuller
aachener nachrichten,en,﻿Aachener nachuten,﻿Aachener nachrichten,﻿Aachener,﻿Aachener nachrichten,,﻿Aachener nachrichten,﻿Aachener nachrichten,﻿Aachener nachrichten,﻿Aachener nachrichten,﻿Aachener nachrichten,﻿Aachener nichrichten,﻿Aachener nachrichten,﻿Aachener nachrichtten,﻿Aachner Nachrichten,﻿Aachener nachrichten,﻿Aachener nachrichten,﻿Aachener nachrichten
advertisements,en,﻿inzerce,﻿annoncering,﻿Werbung,﻿διαφημίσεις,,﻿publicidad,﻿reklaam,﻿mainokset,﻿publicités,﻿reklámok,﻿pubblicità,﻿reklama,﻿advertenties,﻿reklamy,﻿publicidade,﻿reclame,﻿annonsering
Africa Colonial,en,﻿Colloon Africa,﻿Africa Colonial,﻿Afrika – Koloniale,﻿Η ΑΦΡΙΚΗ,,﻿Colonial África,﻿Aafrika kolonial,﻿Afrikan kolonialainen alue,﻿Afrique Colonial,﻿Africa Colonium,﻿Africa Colonial,﻿Afrikos kolonijinė,﻿Afrikaans-Colata,﻿Africa Coloil,﻿Colonial de África,﻿Africa Coloniale,﻿Africa Colonial
albatros,fr,﻿albatrosovití,﻿albatrosser,﻿Albatrosse,﻿άλμπατρος,﻿albatrosses,﻿Albatros,﻿albatrosside,﻿Diomedeidae,,﻿Albatroszfélék,﻿Albatri,﻿Albatrosiniai,﻿albatrossen,﻿albatrosy,﻿albatrozes,﻿albatroși,﻿albatrosser
new dealers,pl,﻿nové obchodní zastoupení,﻿ny forhandler,﻿neuer Händler,﻿νέα αντιπροσωπεία,﻿new dealership,﻿nuevos concesionarios,﻿uus vahendusfirma,﻿uusi autoliike,﻿nouvelle concession,﻿új forgalmazói szolgáltatás,﻿nuova concessione,﻿naujas prekybos atstovybė,﻿nieuw dealerbedrijf,,﻿nova concessão,﻿reprezentanță nouă,﻿ny återförsäljare
grandi motori,en,﻿Grandi motori,﻿Grandi motori,﻿Grandi motori,﻿Grandi motori,,﻿Grandi motori,﻿Grandi motorni,﻿moottori-Grandi,﻿motori Grandi motori,﻿Grandi motor (i),﻿Grandi veicoli,﻿įmonė „Grandi“,﻿Grandi motori,﻿Grandi motori,﻿Grandi motori,﻿motori Grandi,﻿Grandi motori
aeolian harp,fr,﻿Liparských Harp,﻿Liparan Harp,﻿äolian Harp,﻿Eolie Harp,﻿aeolian Harp,﻿Aean HIP,﻿Liparan Harp,﻿Aean Harp,,﻿Aoli-Harp,﻿Harp Eolie,﻿Aeolian Harp,﻿Eolische Harp,﻿Heolian Harp,﻿Eolian Harp,﻿Harp de consum de energie electrică de peste H@@,﻿Eoliska Harp
Occupation of Japan,pl,﻿Ocet Japonska,﻿Eddike fra Japan,"﻿Japan, Essig",﻿Ξύδι της Ιαπωνίας,﻿Vinegar of Japan,﻿Vinagre de Japón,﻿Jaapani äädikas,﻿Japanin viinietikka,﻿Vinaigre du Japon,﻿Japán ecet,﻿Aceto del Giappone,﻿Japonijos actas,﻿Azijn van Japan,,﻿Vinagre do Japão,﻿Oțetul japonez,﻿Japansk vinäger
masa rodriguez,es,﻿mass Rodriguez,﻿masse Rodriguez,﻿Masse Rodriguez,﻿μάζα Rodriguez,﻿mass Rodriguez,,﻿MasinRodriguez,﻿massa Rodriguez,﻿mass Rodriguez,﻿Wense Rodriguez,﻿massa Rodriguez,﻿masė Rodriguez,﻿mass Rodriguez,﻿Rodriguez,﻿massa Rodriguez,﻿masa Rodriguez,﻿mass Rodriguez
Abbreviation,fr,﻿Zkratka,﻿Forkortelse,﻿Abkürzung,﻿Αρκτικόλεξο,﻿Abbreviation,﻿Abreviatura,﻿Lühend,﻿Lyhenne,,﻿Rövidítés,﻿Abbreviazione,﻿Santrumpa,﻿Afkorting,﻿Skrót,﻿Abreviatura,﻿Abreviere,﻿Förkortning
Londonderry,es,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonderry,,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonerry,﻿Kern (Stansted) *,﻿Londonderry,﻿Londonderry,﻿Londonderry,﻿Londonderry
health,el,﻿zdraví,﻿sundhed,﻿Gesundheit,,﻿health,﻿salud,﻿tervis,﻿terveys,﻿santé,﻿egészségügy,﻿salute,﻿sveikatos,﻿gezondheid,﻿zdrowia,﻿saúde,﻿sănătate,﻿hälsa
Herbert Fritsche,en,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritsche,,﻿Herbert Fritsche,﻿Herbert Fritteche,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritche,﻿Herbert Fritsche,﻿Herbert Frische,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritsche,﻿Herbert Fritsche
Traditional outfits Germany,en,﻿Tradiční Německo,"﻿Traditionelle virksomheder, Tyskland",﻿Deutschland: traditionelle Spezialitäten,﻿Παραδοσιακές εξαρτίσεις από τη Γερμανία,,﻿Ropa y equipo tradicionales Alemania,﻿Traditsioonilised valikud — Saksamaa,﻿Perinteiset liiketoimintatavarat – Saksa,﻿Tenues traditionnelles de l’Allemagne,﻿Hagyományos születési hely: németország,﻿Verde tradizionale (Germania),﻿Tradiciniai komplektai – Vokietija,﻿Traditionele kleding Duitsland,﻿Tradycyjne zestawy należące do Niemiec,﻿Enxovais Alemanha,﻿Uniformă tradițională Germania,﻿Traditionell utrustning i Tyskland
radio,en,﻿rozhlas,﻿radio,﻿Radio,﻿ραδιόφωνο,,﻿radio,﻿raadio,﻿Radio,﻿radio,﻿rádió,﻿radio,﻿radijas,﻿radio,﻿radio,﻿rádio,﻿radioul,﻿radio
Great War Graz,en,﻿Great War Graz,﻿Den Store Krig Graz,﻿Großer Krieg Graz,﻿Great War Graz Τηλ.:,,﻿Gran Graz,﻿Great Grazi sõjapiirkond,﻿Graz Graz,﻿Grande guerre Graz,﻿Nagy háború,﻿Grande guerra di Graz,﻿Didysis karas Graz,﻿Great War Graz,﻿Duża wojna Graz,﻿Grande Guerra Graz,﻿Marele Război Graz,﻿Great War Graz
Rafael Tegeo,es,﻿Rafael Teeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegeo,,﻿Rafael Tegeo,﻿Rafael Teeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tego,﻿Rafael Tegeo,﻿Rafael Tegeo,﻿Rafael Tegleo
abwehrverein,de,﻿obrana,﻿forsvar,,﻿άμυνα,﻿defence,﻿defensa,﻿kaitse,﻿puolustus,﻿club de défense,﻿védelem,﻿difesa,﻿gynybos,﻿defensie,﻿obrona,﻿defesa,﻿apărare,﻿försvar
on the origin of species,en,﻿o původu druhů,﻿om arternes oprindelse,﻿über die Herkunft der Arten,﻿σχετικά με την προέλευση των ειδών,,﻿sobre el origen de las especies,﻿liikide päritolu kohta,﻿lajien alkuperästä,﻿sur l’origine des espèces,﻿a fajok eredetéről,﻿sull'origine delle specie,﻿dėl žuvų rūšių kilmės,﻿over de oorsprong van de soorten,﻿w sprawie pochodzenia gatunków,﻿sobre a origem das espécies,﻿privind originea speciei,﻿om arternas ursprung
valentin cespedes,es,﻿Pan Valentin Céspedes,﻿Valentin Céspedes,﻿Herrn Valentin Céspedes,﻿Ο κ. Valentin Céspedes,﻿Mr Valentin Céspedes,,﻿Valentin Céspedes,﻿Valentin Céspedes,﻿Valentin Céspedes,﻿Valentin Céleleges,﻿Valentin Céspedes,﻿Valentin Céspedes,﻿De heer Valentin Céspedes,﻿Valentin Céspedes,﻿Valentin Céspedes,﻿Dl Valentin Céspedes,﻿Valentin Céspedes
adoption,es,﻿přijetí,﻿vedtagelse,﻿Annahme,﻿υιοθέτηση,﻿adoption,,﻿vastuvõtmine,﻿hyväksyminen,﻿adoption,﻿elfogadás,﻿adozione,﻿priėmimas,﻿goedkeuring,﻿przyjęcie,﻿adoção,﻿adoptare,﻿antagande
Achenheim,fr,﻿Achlheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,,﻿Achenheim,﻿Chenheim,﻿Achenheim,﻿Achenkheim,﻿Achenheim,﻿Achenheim,﻿Achenheim,﻿Achenheim
health,el,﻿zdraví,﻿sundhed,﻿Gesundheit,,﻿health,﻿salud,﻿tervis,﻿terveys,﻿santé,﻿egészségügy,﻿salute,﻿sveikatos,﻿gezondheid,﻿zdrowia,﻿saúde,﻿sănătate,﻿hälsa
aisne,fr,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne,﻿Aisne
El genio de Velazquez,es,﻿Genius of Velazquez,﻿Genius of Velazquez,﻿Genius von Velazquez,﻿Genius of Velazquez,﻿Genius of Velazquez,,﻿Velazqueuri genius,﻿Velázquez -kasvin sukulainen,﻿Génie de Velázquez,﻿Genius of Velazquez,﻿Genius di Velázquez,﻿Verazquez genius,﻿Genius of Velazquez,﻿Geniusz Velazquez,﻿Genius de Velazquez,﻿Genius of Velázquez,﻿Genius of Velázquez
de dakar,fr,﻿de Dakar,﻿de Dakar,﻿von Dakar,﻿de Ντακάρ,﻿de Dakar,﻿de Dakar,﻿de Dakar,﻿de Dakar,,﻿de dakari,﻿a Dakar,﻿de Dakaras,﻿Dakar,﻿de Dakar,﻿de Dacar,﻿de Dakar,﻿de Dakar
san juan de la ribera,es,﻿San Juana de la Ribera,﻿San juan de la Ribera,﻿San Juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,,﻿Ribera de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿La Ribera della Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera,﻿San juan de la Ribera
Neoliberalismus und Katholische soziallehre,pl,﻿Neoliberismus und Kallische sziallere,﻿Neoliberismus und Kallische soziallehre,﻿Neoliberismus und Kalrische sozialallehre,﻿Neoliberismus und Kallische soziallehre,﻿Neoliberismus und Kallische soziallehre,﻿Neoliberismus und Kallische sozialhre,﻿Neolistmus und Kallische soziallehre,﻿Neoliberismus und Kallische soziallehre,﻿Neolivberismus und Kallische soziallehre,﻿Neoliberismus und Kallische sizalalle,﻿Neolibermus und Kallische soziallehre,﻿Neliberismus ir Kallische soziallehre,﻿Neoliberismus und Kallische soziallehre,,﻿Neoliberismus und Kalische sozialehre,﻿Neoliberismus und Kallistsche sozilehre,﻿Neoliberismus und Kallischer soziallere
aerograms,en,﻿aerogramy,﻿aerogram,﻿Aerome,﻿aergr,,﻿aerogramos,﻿aerogrammid,﻿aerosoli,﻿avion,﻿aerogram,﻿aerogrammi,﻿aerogramos,﻿aerogram,﻿aerogramy,﻿aerogramas,﻿(în grame),﻿antal i flygplan
garnati,es,﻿Garnati,﻿Gearnati,﻿Ohrnati,﻿Gearnati,﻿Gearnati,,﻿Garanati,﻿Garati,﻿Gearnati,﻿Gearnati,﻿Berati,﻿Gearnati,﻿Gearnati,﻿Geearnati,﻿Gearnati,﻿Learnati,﻿Gearati
aktfotografie,de,﻿fotografické důkazy,﻿fotografisk dokumentation,,﻿φωτογραφικό υλικό,﻿photographic evidence,﻿pruebas fotográficas,﻿fototõendid,﻿Valokuva-aineisto,﻿photographie du dossier,﻿fényképes bizonyíték,﻿prove fotografiche,﻿fotografiniai įrodymai,﻿fotografisch bewijsmateriaal,﻿dokumentacja fotograficzna,﻿prova fotográfica,﻿dovezi fotografice,﻿fotografiska bevis
